taxon_id,scientific_name,observation_count
78793,Pyrola asarifolia,1094
485191,Silene coronaria,1094
76606,Dasiphora fruticosa,1091
78288,Orthilia secunda,1091
166466,Pentaglottis sempervirens,1083
78414,Penstemon procerus,1068
64043,Ceanothus velutinus,1067
77816,Lomatium martindalei,1067
57934,Ericameria nauseosa,1064
61871,Collomia grandiflora,1057
127153,Chondracanthus exasperatus,1056
78726,Potentilla flabellifolia,1050
50851,Cerastium arvense,1048
53298,Stellaria media,1046
79497,Veronica cusickii,1033
868167,Alnus alnobetula,1031
52136,Ipomopsis aggregata,1024
79480,Vancouveria hexandra,1021
125742,Prunus serrulata,1020
50739,Platanthera stricta,1018
933404,Centaurea cyanus,1017
62481,Allotropa virgata,1015
83072,Syringa vulgaris,1004
53313,Trifolium dubium,1002
56826,Lomatium macrocarpum,999
67525,Polemonium californicum,999
61884,Moehringia macrophylla,997
62238,Chimaphila menziesii,997
76214,Centaurea stoebe,997
77795,Lithospermum ruderale,994
76926,Erigeron linearis,993
77638,Lathyrus japonicus,993
79109,Silene latifolia,991
52793,Holcus lanatus,989
55969,Viburnum opulus,986
70265,Myosotis discolor,982
143688,Lupinus arcticus,981
55255,Porella navicularis,973
63875,Selaginella wallacei,973
144305,Penstemon fruticosus,973
162663,Eriogonum thymoides,971
56827,Lomatium utriculatum,967
61067,Leymus mollis,967
61321,Lythrum salicaria,965
78854,Ribes cereum,965
52618,Abronia latifolia,964
61155,Sedum divergens,962
55749,Veronica serpyllifolia,955
51080,Toxicodendron diversilobum,952
63311,Calochortus macrocarpus,946
75569,Arnica cordifolia,943
120491,Gymnocarpium disjunctum,942
55544,Ribes aureum,940
1138381,Hylocomiadelphus triquetrus,936
57460,Geum triflorum,933
77403,Heuchera cylindrica,928
62218,Camassia leichtlinii,926
77183,Gaillardia aristata,925
127355,Cyclamen hederifolium,918
53107,Lactuca serriola,916
48348,Vaccinium deliciosum,915
76907,Erigeron canadensis,914
69820,Cedrus deodara,912
181594,Euphorbia characias,908
